TxTime(sec),RxTime(sec),Latency(ms),FrameID,FrameType,PacketIndex,TotalPackets,FwdRef,BwdRef
3.010000,3.011244,1.244,0,I,0,50,-1,-1
3.010000,3.011560,1.560,0,I,1,50,-1,-1
3.010000,3.011729,1.729,0,I,2,50,-1,-1
3.010000,3.011898,1.898,0,I,3,50,-1,-1
3.010000,3.012067,2.067,0,I,4,50,-1,-1
3.010000,3.012236,2.236,0,I,5,50,-1,-1
3.010000,3.012405,2.405,0,I,6,50,-1,-1
3.010000,3.012573,2.573,0,I,7,50,-1,-1
3.010000,3.012742,2.742,0,I,8,50,-1,-1
3.010000,3.012911,2.911,0,I,9,50,-1,-1
3.010000,3.013080,3.080,0,I,10,50,-1,-1
3.010000,3.013249,3.249,0,I,11,50,-1,-1
3.010000,3.013418,3.418,0,I,12,50,-1,-1
3.010000,3.013587,3.587,0,I,13,50,-1,-1
3.010000,3.013756,3.756,0,I,14,50,-1,-1
3.010000,3.013925,3.925,0,I,15,50,-1,-1
3.010000,3.014094,4.094,0,I,16,50,-1,-1
3.010000,3.014263,4.263,0,I,17,50,-1,-1
3.010000,3.014432,4.432,0,I,18,50,-1,-1
3.010000,3.014600,4.600,0,I,19,50,-1,-1
3.010000,3.014769,4.769,0,I,20,50,-1,-1
3.010000,3.014938,4.938,0,I,21,50,-1,-1
3.010000,3.015107,5.107,0,I,22,50,-1,-1
3.010000,3.015276,5.276,0,I,23,50,-1,-1
3.010000,3.015445,5.445,0,I,24,50,-1,-1
3.010000,3.015614,5.614,0,I,25,50,-1,-1
3.010000,3.015783,5.783,0,I,26,50,-1,-1
3.010000,3.015973,5.973,0,I,27,50,-1,-1
3.010000,3.016378,6.378,0,I,28,50,-1,-1
3.010000,3.016547,6.547,0,I,29,50,-1,-1
3.010000,3.016716,6.716,0,I,30,50,-1,-1
3.010000,3.016885,6.885,0,I,31,50,-1,-1
3.010000,3.017054,7.054,0,I,32,50,-1,-1
3.010000,3.017223,7.223,0,I,33,50,-1,-1
3.010000,3.017392,7.392,0,I,34,50,-1,-1
3.010000,3.017561,7.561,0,I,35,50,-1,-1
3.010000,3.017729,7.729,0,I,36,50,-1,-1
3.010000,3.017898,7.898,0,I,37,50,-1,-1
3.010000,3.018067,8.067,0,I,38,50,-1,-1
3.010000,3.018236,8.236,0,I,39,50,-1,-1
3.010000,3.018405,8.405,0,I,40,50,-1,-1
3.010000,3.018574,8.574,0,I,41,50,-1,-1
3.010000,3.018743,8.743,0,I,42,50,-1,-1
3.010000,3.018912,8.912,0,I,43,50,-1,-1
3.010000,3.019081,9.081,0,I,44,50,-1,-1
3.010000,3.019250,9.250,0,I,45,50,-1,-1
3.010000,3.019419,9.419,0,I,46,50,-1,-1
3.010000,3.019587,9.587,0,I,47,50,-1,-1
3.010000,3.019756,9.756,0,I,48,50,-1,-1
3.010000,3.019943,9.943,0,I,49,50,-1,-1
3.043000,3.044247,1.247,1,B,0,5,0,3
3.043000,3.044590,1.590,1,B,1,5,0,3
3.043000,3.044759,1.759,1,B,2,5,0,3
3.043000,3.044928,1.928,1,B,3,5,0,3
3.043000,3.045115,2.115,1,B,4,5,0,3
3.076000,3.077249,1.249,2,B,0,5,0,3
3.076000,3.077602,1.602,2,B,1,5,0,3
3.076000,3.077771,1.771,2,B,2,5,0,3
3.076000,3.077939,1.939,2,B,3,5,0,3
3.076000,3.078126,2.126,2,B,4,5,0,3
3.109000,3.110244,1.244,3,P,0,30,0,-1
3.109000,3.110677,1.677,3,P,1,30,0,-1
3.109000,3.110846,1.846,3,P,2,30,0,-1
3.109000,3.111015,2.015,3,P,3,30,0,-1
3.109000,3.111184,2.184,3,P,4,30,0,-1
3.109000,3.111353,2.353,3,P,5,30,0,-1
3.109000,3.111521,2.521,3,P,6,30,0,-1
3.109000,3.111690,2.690,3,P,7,30,0,-1
3.109000,3.111859,2.859,3,P,8,30,0,-1
3.109000,3.112028,3.028,3,P,9,30,0,-1
3.109000,3.112197,3.197,3,P,10,30,0,-1
3.109000,3.112366,3.366,3,P,11,30,0,-1
3.109000,3.112535,3.535,3,P,12,30,0,-1
3.109000,3.112704,3.704,3,P,13,30,0,-1
3.109000,3.112873,3.873,3,P,14,30,0,-1
3.109000,3.113042,4.042,3,P,15,30,0,-1
3.109000,3.113211,4.211,3,P,16,30,0,-1
3.109000,3.113380,4.380,3,P,17,30,0,-1
3.109000,3.113548,4.548,3,P,18,30,0,-1
3.109000,3.113717,4.717,3,P,19,30,0,-1
3.109000,3.113886,4.886,3,P,20,30,0,-1
3.109000,3.114055,5.055,3,P,21,30,0,-1
3.109000,3.114224,5.224,3,P,22,30,0,-1
3.109000,3.114393,5.393,3,P,23,30,0,-1
3.109000,3.114562,5.562,3,P,24,30,0,-1
3.109000,3.114731,5.731,3,P,25,30,0,-1
3.109000,3.114900,5.900,3,P,26,30,0,-1
3.109000,3.115069,6.069,3,P,27,30,0,-1
3.109000,3.115238,6.238,3,P,28,30,0,-1
3.109000,3.115426,6.426,3,P,29,30,0,-1
3.142000,3.143249,1.249,4,B,0,5,3,6
3.142000,3.143673,1.673,4,B,1,5,3,6
3.142000,3.143842,1.842,4,B,2,5,3,6
3.142000,3.144011,2.011,4,B,3,5,3,6
3.142000,3.144198,2.198,4,B,4,5,3,6
3.175000,3.176251,1.251,5,B,0,5,3,6
3.175000,3.176639,1.639,5,B,1,5,3,6
3.175000,3.176808,1.808,5,B,2,5,3,6
3.175000,3.176977,1.977,5,B,3,5,3,6
3.175000,3.177164,2.164,5,B,4,5,3,6
3.208000,3.209249,1.249,6,P,0,30,3,-1
3.208000,3.209646,1.646,6,P,1,30,3,-1
3.208000,3.209815,1.815,6,P,2,30,3,-1
3.208000,3.209984,1.984,6,P,3,30,3,-1
3.208000,3.210153,2.153,6,P,4,30,3,-1
3.208000,3.210322,2.322,6,P,5,30,3,-1
3.208000,3.210491,2.491,6,P,6,30,3,-1
3.208000,3.210660,2.660,6,P,7,30,3,-1
3.208000,3.210829,2.829,6,P,8,30,3,-1
3.208000,3.210998,2.998,6,P,9,30,3,-1
3.208000,3.211167,3.167,6,P,10,30,3,-1
3.208000,3.211336,3.336,6,P,11,30,3,-1
3.208000,3.211504,3.504,6,P,12,30,3,-1
3.208000,3.211673,3.673,6,P,13,30,3,-1
3.208000,3.211842,3.842,6,P,14,30,3,-1
3.208000,3.212011,4.011,6,P,15,30,3,-1
3.208000,3.212180,4.180,6,P,16,30,3,-1
3.208000,3.212349,4.349,6,P,17,30,3,-1
3.208000,3.212518,4.518,6,P,18,30,3,-1
3.208000,3.212687,4.687,6,P,19,30,3,-1
3.208000,3.212856,4.856,6,P,20,30,3,-1
3.208000,3.213025,5.025,6,P,21,30,3,-1
3.208000,3.213194,5.194,6,P,22,30,3,-1
3.208000,3.213363,5.363,6,P,23,30,3,-1
3.208000,3.213531,5.531,6,P,24,30,3,-1
3.208000,3.213700,5.700,6,P,25,30,3,-1
3.208000,3.213869,5.869,6,P,26,30,3,-1
3.208000,3.214038,6.038,6,P,27,30,3,-1
3.208000,3.214207,6.207,6,P,28,30,3,-1
3.208000,3.214395,6.395,6,P,29,30,3,-1
3.241000,3.242245,1.245,7,B,0,5,6,9
3.241000,3.242616,1.616,7,B,1,5,6,9
3.241000,3.242785,1.785,7,B,2,5,6,9
3.241000,3.242954,1.954,7,B,3,5,6,9
3.241000,3.243140,2.140,7,B,4,5,6,9
3.274000,3.275248,1.248,8,B,0,5,6,9
3.274000,3.275663,1.663,8,B,1,5,6,9
3.274000,3.275832,1.832,8,B,2,5,6,9
3.274000,3.276001,2.001,8,B,3,5,6,9
3.274000,3.276188,2.188,8,B,4,5,6,9
3.307000,3.308247,1.247,9,P,0,30,6,-1
3.307000,3.308662,1.662,9,P,1,30,6,-1
3.307000,3.308831,1.831,9,P,2,30,6,-1
3.307000,3.309000,2.000,9,P,3,30,6,-1
3.307000,3.309169,2.169,9,P,4,30,6,-1
3.307000,3.309338,2.338,9,P,5,30,6,-1
3.307000,3.309507,2.507,9,P,6,30,6,-1
3.307000,3.309676,2.676,9,P,7,30,6,-1
3.307000,3.309845,2.845,9,P,8,30,6,-1
3.307000,3.310014,3.014,9,P,9,30,6,-1
3.307000,3.310183,3.183,9,P,10,30,6,-1
3.307000,3.310352,3.352,9,P,11,30,6,-1
3.307000,3.310520,3.520,9,P,12,30,6,-1
3.307000,3.310689,3.689,9,P,13,30,6,-1
3.307000,3.310858,3.858,9,P,14,30,6,-1
3.307000,3.311027,4.027,9,P,15,30,6,-1
3.307000,3.311196,4.196,9,P,16,30,6,-1
3.307000,3.311365,4.365,9,P,17,30,6,-1
3.307000,3.311534,4.534,9,P,18,30,6,-1
3.307000,3.311703,4.703,9,P,19,30,6,-1
3.307000,3.311872,4.872,9,P,20,30,6,-1
3.307000,3.312041,5.041,9,P,21,30,6,-1
3.307000,3.312210,5.210,9,P,22,30,6,-1
3.307000,3.312379,5.379,9,P,23,30,6,-1
3.307000,3.312547,5.547,9,P,24,30,6,-1
3.307000,3.312716,5.716,9,P,25,30,6,-1
3.307000,3.312885,5.885,9,P,26,30,6,-1
3.307000,3.313054,6.054,9,P,27,30,6,-1
3.307000,3.313223,6.223,9,P,28,30,6,-1
3.307000,3.313411,6.411,9,P,29,30,6,-1
3.340000,3.341243,1.243,10,B,0,5,9,12
3.340000,3.341542,1.542,10,B,1,5,9,12
3.340000,3.341711,1.711,10,B,2,5,9,12
3.340000,3.341880,1.880,10,B,3,5,9,12
3.340000,3.342066,2.066,10,B,4,5,9,12
3.373000,3.374246,1.246,11,B,0,5,9,12
3.373000,3.374562,1.562,11,B,1,5,9,12
3.373000,3.374731,1.731,11,B,2,5,9,12
3.373000,3.374900,1.900,11,B,3,5,9,12
3.373000,3.375087,2.087,11,B,4,5,9,12
3.406000,3.407245,1.245,12,P,0,30,9,-1
3.406000,3.407552,1.552,12,P,1,30,9,-1
3.406000,3.407721,1.721,12,P,2,30,9,-1
3.406000,3.407890,1.890,12,P,3,30,9,-1
3.406000,3.408059,2.059,12,P,4,30,9,-1
3.406000,3.408228,2.228,12,P,5,30,9,-1
3.406000,3.408397,2.397,12,P,6,30,9,-1
3.406000,3.408566,2.566,12,P,7,30,9,-1
3.406000,3.408735,2.735,12,P,8,30,9,-1
3.406000,3.408904,2.904,12,P,9,30,9,-1
3.406000,3.409073,3.073,12,P,10,30,9,-1
3.406000,3.409242,3.242,12,P,11,30,9,-1
3.406000,3.409410,3.410,12,P,12,30,9,-1
3.406000,3.409579,3.579,12,P,13,30,9,-1
3.406000,3.409748,3.748,12,P,14,30,9,-1
3.406000,3.409917,3.917,12,P,15,30,9,-1
3.406000,3.410086,4.086,12,P,16,30,9,-1
3.406000,3.410255,4.255,12,P,17,30,9,-1
3.406000,3.410424,4.424,12,P,18,30,9,-1
3.406000,3.410593,4.593,12,P,19,30,9,-1
3.406000,3.410762,4.762,12,P,20,30,9,-1
3.406000,3.410931,4.931,12,P,21,30,9,-1
3.406000,3.411100,5.100,12,P,22,30,9,-1
3.406000,3.411269,5.269,12,P,23,30,9,-1
3.406000,3.411437,5.437,12,P,24,30,9,-1
3.406000,3.411606,5.606,12,P,25,30,9,-1
3.406000,3.411789,5.789,12,P,26,30,9,-1
3.406000,3.412141,6.141,12,P,27,30,9,-1
3.406000,3.412309,6.309,12,P,28,30,9,-1
3.406000,3.412489,6.489,12,P,29,30,9,-1
3.439000,3.440249,1.249,13,B,0,5,12,15
3.439000,3.440647,1.647,13,B,1,5,12,15
3.439000,3.440816,1.816,13,B,2,5,12,15
3.439000,3.440985,1.985,13,B,3,5,12,15
3.439000,3.441172,2.172,13,B,4,5,12,15
3.472000,3.473243,1.243,14,B,0,5,12,15
3.472000,3.473667,1.667,14,B,1,5,12,15
3.472000,3.473836,1.836,14,B,2,5,12,15
3.472000,3.474005,2.005,14,B,3,5,12,15
3.472000,3.474192,2.192,14,B,4,5,12,15
3.505000,3.506243,1.243,15,P,0,30,12,-1
3.505000,3.506550,1.550,15,P,1,30,12,-1
3.505000,3.506719,1.719,15,P,2,30,12,-1
3.505000,3.506888,1.888,15,P,3,30,12,-1
3.505000,3.507057,2.057,15,P,4,30,12,-1
3.505000,3.507226,2.226,15,P,5,30,12,-1
3.505000,3.507395,2.395,15,P,6,30,12,-1
3.505000,3.507564,2.564,15,P,7,30,12,-1
3.505000,3.507733,2.733,15,P,8,30,12,-1
3.505000,3.507902,2.902,15,P,9,30,12,-1
3.505000,3.508071,3.071,15,P,10,30,12,-1
3.505000,3.508240,3.240,15,P,11,30,12,-1
3.505000,3.508408,3.408,15,P,12,30,12,-1
3.505000,3.508577,3.577,15,P,13,30,12,-1
3.505000,3.508746,3.746,15,P,14,30,12,-1
3.505000,3.508915,3.915,15,P,15,30,12,-1
3.505000,3.509084,4.084,15,P,16,30,12,-1
3.505000,3.509253,4.253,15,P,17,30,12,-1
3.505000,3.509422,4.422,15,P,18,30,12,-1
3.505000,3.509591,4.591,15,P,19,30,12,-1
3.505000,3.509760,4.760,15,P,20,30,12,-1
3.505000,3.509929,4.929,15,P,21,30,12,-1
3.505000,3.510098,5.098,15,P,22,30,12,-1
3.505000,3.510267,5.267,15,P,23,30,12,-1
3.505000,3.510435,5.435,15,P,24,30,12,-1
3.505000,3.510604,5.604,15,P,25,30,12,-1
3.505000,3.510787,5.787,15,P,26,30,12,-1
3.505000,3.511157,6.157,15,P,27,30,12,-1
3.505000,3.511325,6.325,15,P,28,30,12,-1
3.505000,3.511505,6.505,15,P,29,30,12,-1
3.538000,3.539247,1.247,16,B,0,5,15,18
3.538000,3.539663,1.663,16,B,1,5,15,18
3.538000,3.539832,1.832,16,B,2,5,15,18
3.538000,3.540001,2.001,16,B,3,5,15,18
3.538000,3.540188,2.188,16,B,4,5,15,18
3.571000,3.572250,1.250,17,B,0,5,15,18
3.571000,3.572602,1.602,17,B,1,5,15,18
3.571000,3.572771,1.771,17,B,2,5,15,18
3.571000,3.572940,1.940,17,B,3,5,15,18
3.571000,3.573127,2.127,17,B,4,5,15,18
3.604000,3.605250,1.250,18,P,0,30,15,-1
3.604000,3.605566,1.566,18,P,1,30,15,-1
3.604000,3.605735,1.735,18,P,2,30,15,-1
3.604000,3.605904,1.904,18,P,3,30,15,-1
3.604000,3.606073,2.073,18,P,4,30,15,-1
3.604000,3.606242,2.242,18,P,5,30,15,-1
3.604000,3.606411,2.411,18,P,6,30,15,-1
3.604000,3.606580,2.580,18,P,7,30,15,-1
3.604000,3.606749,2.749,18,P,8,30,15,-1
3.604000,3.606918,2.918,18,P,9,30,15,-1
3.604000,3.607087,3.087,18,P,10,30,15,-1
3.604000,3.607256,3.256,18,P,11,30,15,-1
3.604000,3.607424,3.424,18,P,12,30,15,-1
3.604000,3.607593,3.593,18,P,13,30,15,-1
3.604000,3.607762,3.762,18,P,14,30,15,-1
3.604000,3.607931,3.931,18,P,15,30,15,-1
3.604000,3.608100,4.100,18,P,16,30,15,-1
3.604000,3.608269,4.269,18,P,17,30,15,-1
3.604000,3.608438,4.438,18,P,18,30,15,-1
3.604000,3.608607,4.607,18,P,19,30,15,-1
3.604000,3.608776,4.776,18,P,20,30,15,-1
3.604000,3.608945,4.945,18,P,21,30,15,-1
3.604000,3.609114,5.114,18,P,22,30,15,-1
3.604000,3.609283,5.283,18,P,23,30,15,-1
3.604000,3.609451,5.451,18,P,24,30,15,-1
3.604000,3.609620,5.620,18,P,25,30,15,-1
3.604000,3.609789,5.789,18,P,26,30,15,-1
3.604000,3.609958,5.958,18,P,27,30,15,-1
3.604000,3.610139,6.139,18,P,28,30,15,-1
3.604000,3.610503,6.503,18,P,29,30,15,-1
3.637000,3.638246,1.246,19,B,0,5,18,21
3.637000,3.638626,1.626,19,B,1,5,18,21
3.637000,3.638795,1.795,19,B,2,5,18,21
3.637000,3.638964,1.964,19,B,3,5,18,21
3.637000,3.639151,2.151,19,B,4,5,18,21
3.670000,3.671249,1.249,20,B,0,5,18,21
3.670000,3.671574,1.574,20,B,1,5,18,21
3.670000,3.671743,1.743,20,B,2,5,18,21
3.670000,3.671912,1.912,20,B,3,5,18,21
3.670000,3.672099,2.099,20,B,4,5,18,21
3.703000,3.704248,1.248,21,P,0,30,18,-1
3.703000,3.704564,1.564,21,P,1,30,18,-1
3.703000,3.704733,1.733,21,P,2,30,18,-1
3.703000,3.704902,1.902,21,P,3,30,18,-1
3.703000,3.705071,2.071,21,P,4,30,18,-1
3.703000,3.705240,2.240,21,P,5,30,18,-1
3.703000,3.705409,2.409,21,P,6,30,18,-1
3.703000,3.705578,2.578,21,P,7,30,18,-1
3.703000,3.705747,2.747,21,P,8,30,18,-1
3.703000,3.705916,2.916,21,P,9,30,18,-1
3.703000,3.706085,3.085,21,P,10,30,18,-1
3.703000,3.706254,3.254,21,P,11,30,18,-1
3.703000,3.706422,3.422,21,P,12,30,18,-1
3.703000,3.706591,3.591,21,P,13,30,18,-1
3.703000,3.706760,3.760,21,P,14,30,18,-1
3.703000,3.706929,3.929,21,P,15,30,18,-1
3.703000,3.707098,4.098,21,P,16,30,18,-1
3.703000,3.707267,4.267,21,P,17,30,18,-1
3.703000,3.707436,4.436,21,P,18,30,18,-1
3.703000,3.707605,4.605,21,P,19,30,18,-1
3.703000,3.707774,4.774,21,P,20,30,18,-1
3.703000,3.707943,4.943,21,P,21,30,18,-1
3.703000,3.708112,5.112,21,P,22,30,18,-1
3.703000,3.708281,5.281,21,P,23,30,18,-1
3.703000,3.708449,5.449,21,P,24,30,18,-1
3.703000,3.708618,5.618,21,P,25,30,18,-1
3.703000,3.708787,5.787,21,P,26,30,18,-1
3.703000,3.708977,5.977,21,P,27,30,18,-1
3.703000,3.709329,6.329,21,P,28,30,18,-1
3.703000,3.709517,6.517,21,P,29,30,18,-1
3.736000,3.737250,1.250,22,B,0,5,21,24
3.736000,3.737612,1.612,22,B,1,5,21,24
3.736000,3.737781,1.781,22,B,2,5,21,24
3.736000,3.737950,1.950,22,B,3,5,21,24
3.736000,3.738137,2.137,22,B,4,5,21,24
3.769000,3.770244,1.244,23,B,0,5,21,24
3.769000,3.770596,1.596,23,B,1,5,21,24
3.769000,3.770765,1.765,23,B,2,5,21,24
3.769000,3.770934,1.934,23,B,3,5,21,24
3.769000,3.771121,2.121,23,B,4,5,21,24
3.802000,3.803246,1.246,24,P,0,30,21,-1
3.802000,3.803634,1.634,24,P,1,30,21,-1
3.802000,3.803803,1.803,24,P,2,30,21,-1
3.802000,3.803972,1.972,24,P,3,30,21,-1
3.802000,3.804141,2.141,24,P,4,30,21,-1
3.802000,3.804310,2.310,24,P,5,30,21,-1
3.802000,3.804479,2.479,24,P,6,30,21,-1
3.802000,3.804648,2.648,24,P,7,30,21,-1
3.802000,3.804817,2.817,24,P,8,30,21,-1
3.802000,3.804986,2.986,24,P,9,30,21,-1
3.802000,3.805155,3.155,24,P,10,30,21,-1
3.802000,3.805324,3.324,24,P,11,30,21,-1
3.802000,3.805492,3.492,24,P,12,30,21,-1
3.802000,3.805661,3.661,24,P,13,30,21,-1
3.802000,3.805830,3.830,24,P,14,30,21,-1
3.802000,3.805999,3.999,24,P,15,30,21,-1
3.802000,3.806168,4.168,24,P,16,30,21,-1
3.802000,3.806337,4.337,24,P,17,30,21,-1
3.802000,3.806506,4.506,24,P,18,30,21,-1
3.802000,3.806675,4.675,24,P,19,30,21,-1
3.802000,3.806844,4.844,24,P,20,30,21,-1
3.802000,3.807013,5.013,24,P,21,30,21,-1
3.802000,3.807182,5.182,24,P,22,30,21,-1
3.802000,3.807351,5.351,24,P,23,30,21,-1
3.802000,3.807519,5.519,24,P,24,30,21,-1
3.802000,3.807688,5.688,24,P,25,30,21,-1
3.802000,3.807857,5.857,24,P,26,30,21,-1
3.802000,3.808026,6.026,24,P,27,30,21,-1
3.802000,3.808195,6.195,24,P,28,30,21,-1
3.802000,3.808383,6.383,24,P,29,30,21,-1
3.835000,3.836242,1.242,25,B,0,5,24,27
3.835000,3.836649,1.649,25,B,1,5,24,27
3.835000,3.836818,1.818,25,B,2,5,24,27
3.835000,3.836987,1.987,25,B,3,5,24,27
3.835000,3.837173,2.173,25,B,4,5,24,27
3.868000,3.869245,1.245,26,B,0,5,24,27
3.868000,3.869588,1.588,26,B,1,5,24,27
3.868000,3.869757,1.757,26,B,2,5,24,27
3.868000,3.869926,1.926,26,B,3,5,24,27
3.868000,3.870113,2.113,26,B,4,5,24,27
3.901000,3.902244,1.244,27,P,0,30,24,-1
3.901000,3.902632,1.632,27,P,1,30,24,-1
3.901000,3.902801,1.801,27,P,2,30,24,-1
3.901000,3.902970,1.970,27,P,3,30,24,-1
3.901000,3.903139,2.139,27,P,4,30,24,-1
3.901000,3.903308,2.308,27,P,5,30,24,-1
3.901000,3.903477,2.477,27,P,6,30,24,-1
3.901000,3.903646,2.646,27,P,7,30,24,-1
3.901000,3.903815,2.815,27,P,8,30,24,-1
3.901000,3.903984,2.984,27,P,9,30,24,-1
3.901000,3.904153,3.153,27,P,10,30,24,-1
3.901000,3.904322,3.322,27,P,11,30,24,-1
3.901000,3.904490,3.490,27,P,12,30,24,-1
3.901000,3.904659,3.659,27,P,13,30,24,-1
3.901000,3.904828,3.828,27,P,14,30,24,-1
3.901000,3.904997,3.997,27,P,15,30,24,-1
3.901000,3.905166,4.166,27,P,16,30,24,-1
3.901000,3.905335,4.335,27,P,17,30,24,-1
3.901000,3.905504,4.504,27,P,18,30,24,-1
3.901000,3.905673,4.673,27,P,19,30,24,-1
3.901000,3.905842,4.842,27,P,20,30,24,-1
3.901000,3.906011,5.011,27,P,21,30,24,-1
3.901000,3.906180,5.180,27,P,22,30,24,-1
3.901000,3.906349,5.349,27,P,23,30,24,-1
3.901000,3.906517,5.517,27,P,24,30,24,-1
3.901000,3.906686,5.686,27,P,25,30,24,-1
3.901000,3.906855,5.855,27,P,26,30,24,-1
3.901000,3.907024,6.024,27,P,27,30,24,-1
3.901000,3.907193,6.193,27,P,28,30,24,-1
3.901000,3.907381,6.381,27,P,29,30,24,-1
3.934000,3.935249,1.249,28,B,0,5,27,30
3.934000,3.935638,1.638,28,B,1,5,27,30
3.934000,3.935807,1.807,28,B,2,5,27,30
3.934000,3.935976,1.976,28,B,3,5,27,30
3.934000,3.936162,2.162,28,B,4,5,27,30
3.967000,3.968243,1.243,29,B,0,5,27,30
3.967000,3.968613,1.613,29,B,1,5,27,30
3.967000,3.968782,1.782,29,B,2,5,27,30
3.967000,3.968951,1.951,29,B,3,5,27,30
3.967000,3.969138,2.138,29,B,4,5,27,30
4.000000,4.001661,1.661,30,P,0,30,27,-1
4.000000,4.001830,1.830,30,P,1,30,27,-1
4.000000,4.001999,1.999,30,P,2,30,27,-1
4.000000,4.002168,2.168,30,P,3,30,27,-1
4.000000,4.002337,2.337,30,P,4,30,27,-1
4.000000,4.002506,2.506,30,P,5,30,27,-1
4.000000,4.002675,2.675,30,P,6,30,27,-1
4.000000,4.002844,2.844,30,P,7,30,27,-1
4.000000,4.003013,3.013,30,P,8,30,27,-1
4.000000,4.003182,3.182,30,P,9,30,27,-1
4.000000,4.003350,3.350,30,P,10,30,27,-1
4.000000,4.003519,3.519,30,P,11,30,27,-1
4.000000,4.003688,3.688,30,P,12,30,27,-1
4.000000,4.003857,3.857,30,P,13,30,27,-1
4.000000,4.004026,4.026,30,P,14,30,27,-1
4.000000,4.004195,4.195,30,P,15,30,27,-1
4.000000,4.004364,4.364,30,P,16,30,27,-1
4.000000,4.004533,4.533,30,P,17,30,27,-1
4.000000,4.004702,4.702,30,P,18,30,27,-1
4.000000,4.004871,4.871,30,P,19,30,27,-1
4.000000,4.005040,5.040,30,P,20,30,27,-1
4.000000,4.005209,5.209,30,P,21,30,27,-1
4.000000,4.005377,5.377,30,P,22,30,27,-1
4.000000,4.005546,5.546,30,P,23,30,27,-1
4.000000,4.005715,5.715,30,P,24,30,27,-1
4.000000,4.005884,5.884,30,P,25,30,27,-1
4.000000,4.006053,6.053,30,P,26,30,27,-1
4.000000,4.006222,6.222,30,P,27,30,27,-1
4.000000,4.006391,6.391,30,P,28,30,27,-1
4.000000,4.006570,6.570,30,P,29,30,27,-1
4.033000,4.034249,1.249,31,B,0,5,30,33
4.033000,4.034647,1.647,31,B,1,5,30,33
4.033000,4.034815,1.815,31,B,2,5,30,33
4.033000,4.034984,1.984,31,B,3,5,30,33
4.033000,4.035171,2.171,31,B,4,5,30,33
4.066000,4.067242,1.242,32,B,0,5,30,33
4.066000,4.067604,1.604,32,B,1,5,30,33
4.066000,4.067773,1.773,32,B,2,5,30,33
4.066000,4.067942,1.942,32,B,3,5,30,33
4.066000,4.068129,2.129,32,B,4,5,30,33
4.099000,4.100245,1.245,33,P,0,30,30,-1
4.099000,4.100678,1.678,33,P,1,30,30,-1
4.099000,4.100847,1.847,33,P,2,30,30,-1
4.099000,4.101016,2.016,33,P,3,30,30,-1
4.099000,4.101185,2.185,33,P,4,30,30,-1
4.099000,4.101354,2.354,33,P,5,30,30,-1
4.099000,4.101523,2.523,33,P,6,30,30,-1
4.099000,4.101692,2.692,33,P,7,30,30,-1
4.099000,4.101860,2.860,33,P,8,30,30,-1
4.099000,4.102029,3.029,33,P,9,30,30,-1
4.099000,4.102198,3.198,33,P,10,30,30,-1
4.099000,4.102367,3.367,33,P,11,30,30,-1
4.099000,4.102536,3.536,33,P,12,30,30,-1
4.099000,4.102705,3.705,33,P,13,30,30,-1
4.099000,4.102874,3.874,33,P,14,30,30,-1
4.099000,4.103043,4.043,33,P,15,30,30,-1
4.099000,4.103212,4.212,33,P,16,30,30,-1
4.099000,4.103381,4.381,33,P,17,30,30,-1
4.099000,4.103550,4.550,33,P,18,30,30,-1
4.099000,4.103719,4.719,33,P,19,30,30,-1
4.099000,4.103887,4.887,33,P,20,30,30,-1
4.099000,4.104056,5.056,33,P,21,30,30,-1
4.099000,4.104225,5.225,33,P,22,30,30,-1
4.099000,4.104394,5.394,33,P,23,30,30,-1
4.099000,4.104563,5.563,33,P,24,30,30,-1
4.099000,4.104732,5.732,33,P,25,30,30,-1
4.099000,4.104901,5.901,33,P,26,30,30,-1
4.099000,4.105070,6.070,33,P,27,30,30,-1
4.099000,4.105239,6.239,33,P,28,30,30,-1
4.099000,4.105427,6.427,33,P,29,30,30,-1
4.132000,4.133251,1.251,34,B,0,5,33,36
4.132000,4.133585,1.585,34,B,1,5,33,36
4.132000,4.133754,1.754,34,B,2,5,33,36
4.132000,4.133923,1.923,34,B,3,5,33,36
4.132000,4.134110,2.110,34,B,4,5,33,36
4.165000,4.166244,1.244,35,B,0,5,33,36
4.165000,4.166606,1.606,35,B,1,5,33,36
4.165000,4.166775,1.775,35,B,2,5,33,36
4.165000,4.166943,1.943,35,B,3,5,33,36
4.165000,4.167130,2.130,35,B,4,5,33,36
4.198000,4.199247,1.247,36,P,0,30,33,-1
4.198000,4.199608,1.608,36,P,1,30,33,-1
4.198000,4.199777,1.777,36,P,2,30,33,-1
4.198000,4.199946,1.946,36,P,3,30,33,-1
4.198000,4.200115,2.115,36,P,4,30,33,-1
4.198000,4.200284,2.284,36,P,5,30,33,-1
4.198000,4.200452,2.452,36,P,6,30,33,-1
4.198000,4.200621,2.621,36,P,7,30,33,-1
4.198000,4.200790,2.790,36,P,8,30,33,-1
4.198000,4.200959,2.959,36,P,9,30,33,-1
4.198000,4.201128,3.128,36,P,10,30,33,-1
4.198000,4.201297,3.297,36,P,11,30,33,-1
4.198000,4.201466,3.466,36,P,12,30,33,-1
4.198000,4.201635,3.635,36,P,13,30,33,-1
4.198000,4.201804,3.804,36,P,14,30,33,-1
4.198000,4.201973,3.973,36,P,15,30,33,-1
4.198000,4.202142,4.142,36,P,16,30,33,-1
4.198000,4.202311,4.311,36,P,17,30,33,-1
